ID,Language_ID,Headword,Part_Of_Speech,Borrowed_Word,Comment,Dialect_Genderlect_Info,Entry_IDs,Language_of_Origin,Media_IDs,Paradigm,Source_Citation_Form,Variant_Form
a_1,gyr,a,n,,,,,gyr,0767841638ce55856c5eb709b6a5c09e,"che a, nde a, i'a","a, aguer (Hoeller 1932a:2)",
a_3,gyr,a,intj,,,,,gyr,,,"a, ah (Hoeller 1932a:1); ah! (Hoeller 1932a:11)",
achi,gyr,achi,n,,,,,gyr,,,achi (Hoeller 1932a:8),
LX000001,gyr,achi'i,n,,,,LX001803,gyr,e8cf89f64172fbf06ccaa9f1b77fb503,"(che achi'i,) yachi'i ; che achi'i, yachi'i",achii (Hoeller 1932a:8); achii (Hoeller1929:5),
LX000002,gyr,achi'ɨ,n,,,,,gyr,ae682bb5b82d12204658d0bac40e9d99,"che achi'ɨ, nde achi'ɨ, yachi'ɨ",achiì (Hoeller 1932a:8); achiǐ (Hoeller 1929:5),
LX000003,gyr,achï,n,,lit. white hair,,,gyr,c776190c0d937124250187e6d2266fa6,,achĩ (Hoeller 1932a:8),a chï
LX000004,gyr,achïngasɨ,n,,,,,gyr,8610936d9f32dae0aee2fe0f4dd1c817,,achingazì (Hoeller 1932a:8),
ae,gyr,ae,adv,,,,,gyr,661db9b150c11af6fbd70580cfbf5115,"che ae, nde ae, a'e ae",-; e (nde) - aba e (Hoeller 1929: 30),
ae_ete_yete,gyr,ae ete yete,exp,,,,,gyr,,,-; ae ete yete (Hoeller 1929:129),
aete,gyr,aete,n,,,,,gyr,,,aete (Hoeller1932a:9; Hoeller1929:5),
agwa,gyr,agwa,n,,,,,gyr,4dd5dac4087c6aba0c68316f78be80fe,"che agwa, nde agwa, yagwa","agua, yagua (Hoeller 1932a:9); âguâ (Hoeller 1929:5)",
agwape,gyr,agwape,n,,,,,gyr,464f5aeae9279d32897321d5d77da8bc,,aguape (Hoeller 1932a:9),
