ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Corpus_Reference,Sense_IDs,alt_translation1,alt_translation2
XV000001,gyr,che a,,,my hair,,,Hoeller 1932a:2,SN000001 ; SN000025,mi pelo,mein Haar
XV000002,gyr,a Tüpa che Yar!,,,"Oh, my God and Lord!",,,Hoeller 1932a:1,SN000002,"¡Oo, mi Díos y Señor!","Oh, mein Gott und Herr!"
XV000003,gyr,che achi'i,,,I have furuncles,,,Hoeller 1932a:8,SN000005,tengo forúnculos,ich habe Furunkel
XV000004,gyr,che achi'ɨ ve,,,I carry it on my shoulders,,,Hoeller 1932a:8,SN000006,lo cargo a hombros,ich trage es auf der Schulter
XV000005,gyr,"añemoachï (2019: ayemoakächï, che akächï)",,,my hair turns grey,,,Hoeller 1932a:8,SN000007,me pongo canoso/-a,ich werde grauhaarig
XV000006,gyr,nde ae,,,you alone,,,"Hoeller 1929:E, 30",SN000009,tu solo,
XV000007,gyr,ava ae,,,lonesome man,,,"Hoeller 1929:E, 30",SN000009,hombre solitario,
XV000008,gyr,ko turukwar aete,,,"this cloth is smooth or fine, like velvet",,,Hoeller 1932a:9,SN000011,"esta tela es suavecita o fina, como terciopelo","dieser Stoff ist weich oder fein, wie Samt"
XV000009,gyr,"po agwa, pɨ agwa",,,"club hand, club foot",,,Hoeller 1932a:9,SN000012,"mano zamba, pie zambo","Klumphand, Klumpfuß"
XV000010,gyr,agwape'i,,,a smaller species of aquatic plant,,,Hoeller 1932a:9,SN000013,un género de alga más pequeño,eine kleinere Wasserpflanze
XV000011,gyr,agwarachï,,,the white fox,,,Hoeller 1932a:9,SN000017,el zorro blanco,der weiße Fuchs
XV000012,gyr,che agwasa,,,I live in concubinage,,,Hoeller 1932a:9,SN000021,vivo en concubinato,ich habe eine außereheliche Beziehung
XV000013,gyr,yagwasar,,,his or her lover/concubine,,,Hoeller 1932a:9,SN000022,tiene amante,er/sie hat eine/einen Liebhaber
XV000014,gyr,agwa'i ɨ,,,the tree of this fruit (agwai),,,Hoeller 1932a:9,SN000023,el árbol de la fruta (agwai),der Baum dieser Frucht (agwai)
XV000015,gyr,agwe'a ɨpɨ,,,root of the molar,,,Hoeller 1932a:9,SN000026,raíz de la muela,Wurzel des Backenzahns
XV000016,gyr,vino oñembo'ai,,,the vine is fermented (spoiled),,,Hoeller 1932a:12,SN000027,el vino ha fermentado (está podrido),der Wein ist sauer geworden
XV000017,gyr,ñapachingai,,,badly dyed thread (became white),,,Hoeller 1932a:151,SN000028,hilo teñido mal (está hecho blanco),schlecht gefärbter (weißer) Faden
XV000018,gyr,arusu / avachi yai,,,the rice / maize is spoiled,,,Hoeller 1932a:12,SN000029,el arróz / maíz está podrido,der Reis / Mais ist verfault
XV000019,gyr,po aimbe,,,"coarse skin (on the hand), calloused hand",,,Hoeller 1932a:12,SN000032,"mano carrasposa, callosa","raue, schwielige Hand"
XV000020,gyr,aipo rese,,,"that's why, therefore (it is said)",,,Hoeller 1932a:12,SN000033,por eso (dizqué),"deswegen (, sagt man)"
XV000021,gyr,ayaitɨ / ayea'ɨtɨ (2019: añe'ä'ɨtɨ),,,I bow,,,Hoeller 1932a:12,SN000034,me inclino,"ich beuge mich, verneige mich"
XV000022,gyr,yaɨsɨ va'e,,,stained,,,Hoeller 1929:6,SN000038,con manchas,"gefleckt, fleckig"
XV000023,gyr,ɨ aɨsɨkwer,,,water algae,,,Hoeller 1932a:13,SN000039,alga del agua,Wasseralgen
XV000024,gyr,kave yaɨsɨsɨ va'e,,,spotted dog,,,Hoeller 1932a:13,SN000040,perro manchado,gfleckter Hund
XV000025,gyr,che aka'aka,,,she tells me off,,,Hoeller 1932a:273,SN000041,me retea mucho,sie schimpft mich sehr aus
XV000026,gyr,che akato kotɨ,,,on my right side,,,Hoeller 1932a:6,SN000043,en mi lado derecho,auf meiner rechten Seite
XV000027,gyr,akaya ɨ,,,the tree of the akaya-fruit,,,Hoeller 1932a:6,SN000044,árbol de la fruta (akaya),der Baum der akaya-Frucht
XV000028,gyr,akaya'a rëtangwer,,,the spirit of a well in Cururú,,,Hoeller 1932a:6,SN000045,el jichi de un pozo en Cururú,der Geist eines Wasserlochs in Cururú
XV000029,gyr,ñakä,,,his/her head,,,Hoeller 1932a:6,SN000047,su cabeza,sein/ihr Kopf
XV000030,gyr,akä'echï,,,a species of white bird,,,Hoeller 1932a:6,SN000056,una especie de ave blanca,eine Vogelart (weiß)
