ID,Description,Entry_ID,Media_IDs,Semantic_Domain,alt_translation1,alt_translation2
SN000001,hair; fur,a_1,faeff026035e7c5f84e9942c49b615fa,body part,cabello; pellejo,Haar; Fell
SN000002,"Ah, Oh (honorific address)",a_3,a2fba670f8eea04bf07034ec7f68f1a3 ; ebac006ef8786e0abcddb02ecfd4d18d,symptomatic,"Aa, Oo (tratamiento honorífico)",Oh (ehrenvolle Anrede)
SN000003,a species of small pigeon,achi,3aef755332cb46b07d9ef7581ff07fdd,animal - bird,una especie de paloma pequeña,kleine Taubenart
SN000004,grain,LX000001,,object,grano,Korn
SN000005,furuncle; abscess,LX000001,c870cef0b84b698954fc62334ca7d509 ; 7cab3a2c03a6eed150f4592486669347,health,grano; forúnculo; absceso,Furunkel; Abszess
SN000006,shoulder,LX000002,96bd36a16e1662d2e0637a92627c7998,body part,hombro,Schulter
SN000007,grey hair,LX000003,1ea21ab1dd14d7b68a41d087fa5e3068,body part,pelo canoso,graue Haare
SN000008,"a species of bird, its call is a bad omen",LX000004,a9644f967acae7b51879ff717e0f300c,animal - bird,"una especie de ave, su canto es un mal augurio","Vogelart, sein Ruf ist ein schlechtes Vorzeichen"
SN000009,alone,ae,,quantity,solo,allein
SN000010,he himself,ae_ete_yete,,other,él mismo,er selbst
SN000011,pure; genuine; original; good quality; resistant,aete,c653659514bda175af79b5d5813706ec,property,puro; genuino; original; buena calidad; resistente,rein; echt; originär; gute Qualität; widerstandsfähig
SN000012,short; small size; lump,agwa,ae6ee3b31fdc866db62d25869ffd3be3,object; property,corto; bajito; de menor estatura/medida; trozo,kurz; klein; Klumpen
SN000013,a species of aquatic plant,agwape,04e7015fa8fd8fb6b9ba741c60779e7b,plant - aquatic,"taropé, una especie de planta acuática",Wasserpflanzenart
SN000014,"gallareta, a bird that feeds on aquatic plants (agwape)",agwapeasoi,04e7015fa8fd8fb6b9ba741c60779e7b,animal - bird,"gallareta, un pájaro que come plantas acuáticas (agwape)","Gallareta, ein Vogel der Wasserpflanzen (awagpe) frisst"
SN000015,a species of aquatic plant,LX000005,04e7015fa8fd8fb6b9ba741c60779e7b,plant - aquatic,una especie de planta acuática,Wasserpflanzenart
SN000016,suspender with a hook,agwapinda,,clothes,liga,Strumpfhalter
SN000017,a species of fox,agwara,d0fcd6109a7c45aa5b845c594cefb7dc,animal - mammal,zorro,Fuchsart
SN000018,"borochi, a species of wolf",agwara_gwasu,d0fcd6109a7c45aa5b845c594cefb7dc,animal - mammal,"borochi, lobo","Borochi, eine Art Wolf"
SN000019,white fox,LX000006,d0fcd6109a7c45aa5b845c594cefb7dc,animal - mammal,zorro blanco,weißer Fuchs
SN000020,"vichi, a species of liana, used for dyeing blue",LX000007,d0fcd6109a7c45aa5b845c594cefb7dc,plant - liana,"bejuco vichi, usado para teñir azul","Vichi, eine Liane, verwendet zum Blau färben"
SN000021,adultery; concubinage,agwasa,,social relations,adulterío; concubinato,Ehebruch
SN000022,lover,agwasa,a00cfaa8a1ca54a96138114867ecdbf7,social relations,amante,"Buhle, in wilder Ehe zusammenlebende(r)"
SN000023,"a species of fruit, its seeds make a rattling sound",LX000008,a5b10fe18fe21f8b26cc9d8302da8f81,plant - fruit,"una especie de fruta, sus semillas suenan, la llaman aguaí",eine Frucht (ihre Samen klappern)
SN000024,a species of tree,LX000009,a5b10fe18fe21f8b26cc9d8302da8f81,plant - tree,una especie de árbol,Baumart
SN000025,hair; fur,agwer,faeff026035e7c5f84e9942c49b615fa,body part,cabello; pellejo,Haar; Fell
SN000026,molar,LX000010,e2608bc9ab9883dcbd193af5199b33fc,body part,muela,Backenzahn
SN000027,sour; fermented,ai_1,2bb3db7d7b2182a563e921b878acc566,property,agrio; fermentado,sauer; vergoren
SN000028,bad,ai_2,edd9fcb19873f9f20ea00938d6fe7122 ; f4900bf49a0006fb69c16e2a0cb2d1b7,property,mal,schlecht
SN000029,"moldy, spoiled",ai_3,f228d25f92990ea31200562ab85ab020,property,podrido,verfault
SN000030,"interjection expressing pain, but also for comment on bad action",ai_ai,,symptomatic,"interjección expresando dolor, pero también usado para criticar un acción mala","Interjektion, die Schmerz ausdrückt, aber auch eine schlechte Handlung kritisiert"
SN000031,hurry,ai_ai,,appellative,prisa,Eile
SN000032,rough; sharp,aimbe,e9e415d456f8c1254e41bc1ede7faab1,property,áspero; filo,rau; scharf
SN000033,demonstrative; quotative,aipo,d92173a96dc3ac452f955d265231c3a1,grammatical - discourse,demonstrativo; quotativo,Demonstrativ; Quotativ
SN000034,move with the wind,LX000011,,activity,moverse con la brisa,sich mit dem Wind bewegen
SN000035,heart beat,LX000011,db98daa4be225ffa0b37da06a0c162df ; c95176308c3e6a4d096cd52b1fec3c17,activity; human-body,palpitar,Herzklopfen
SN000036,mother,LX000012,0383e0c8067c7bcad0fb14191437d27e,kinship,madre,Mutter
SN000037,rascal,aivete,315226870ff069b099bac2e839618afe,human,pícaro,Spitzbube
SN000038,stain,LX000013,,other,mancha,Fleck
SN000039,moss; algae,LX000014,b48eccf1b213a3d41d90ea698d07c0cd,plant,musgo; alga,Moos; Algen
SN000040,stained; shiny,LX000015,69625e6d00c554df9def0066d0eee74f,property,manchado; brilloso,fleckig; glänzend
SN000041,scold,aka,c94aaf1d70838dc2cbda8ba69f03abeb ; 0cbb705f49035794dea7454e975848b5,activity,regañar; retear,schelten
SN000042,"serepapita, a species of fish",akara,eaa934ac7df5b4445b94ceff87c3375f,animal - fish,"serepapita, una especie de pez","Serepapita, eine Fischart"
SN000043,right; right side,akato,d70622e070cc124462606580ee2cafef,location,derecha; lado derecho,rechts; die rechte Seite
SN000044,"ocorocillo, a species of fruit",akaya,f3a79960edda52e02e998fe78657786f,plant - fruit,"ocorocillo, una especie de fruta","Ocorocillo, eine Frucht"
SN000045,"spirit, mythological human characters",LX000016,650f9cfef954ca052c7078447d50e063,religion & spirituality,"jichi, personajes humanas mitológicas","Geistwesen, menschliche Gestalten in der Mythologie"
SN000046,"ocorocillo, a species of tree",LX000017,f3a79960edda52e02e998fe78657786f,plant - tree,"ocorocillo, una especie de árbol","Ocorocillo, eine Baumart"
SN000047,head,LX000018,9d586ec031dfaf1fb94caca50bc6df5e,body part,cabeza,Kopf
SN000048,skull,LX000019,e09f7ca9dde299399872db11555f8b31,body part,cráneo,Schädel
SN000049,curly,LX000020,eba6cc9ac91c739b769b4474f193363f ; 4350ecf135e00897679b525f73da7557,body part,crespo,kraushaarig
SN000050,pillow,LX000021,,object - household,almohada; cabecera,Kopfkissen
SN000051,corner of a table,LX000022,,object,esquina de la mesa,Tischecke
SN000052,the end of a board,LX000023,,location,el extremo del estante,Ende des Bretts
SN000053,cover one's head with a scarf,LX000024,a9b795ac2b05d585e9c21c5381d05c2c,activity - speech,ponerse un paño en la cabeza,sich den Kopf mit einem Tuch bedecken
SN000054,kindness of soul; spiritual well-being,LX000025,720f2777fa9f5c5b6a648628728eafe0,human - emotion & cognition,benignidad de alma; el bien mental,Seelengüte; geistiges Wohl
SN000055,kindness of soul; spiritual well-being,LX000026,720f2777fa9f5c5b6a648628728eafe0,human - emotion & cognition,benignidad de alma; el bien mental,Seelengüte; geistiges Wohl
SN000056,a species of black bird,LX000027,42ca9b9c32e66b07325e5d09ae15dc5d,animal - bird,una especie de pájaro negro,schwarze Vogelart
SN000057,a species of white bird,LX000028,42ca9b9c32e66b07325e5d09ae15dc5d,animal - bird,una especie de pájaro blanco,"Vogelart, weiß"
SN000058,lazyness; tired,LX000029,4573dd83f044cd08a7bc58feb992b7ca ; b0021558d3350d2d81cc02c5e8fc1a79,state,flojera; cansado; rendido,"faul; träge, müde"
SN000059,green fruit,LX000030,,property,fruta verde,grüne Frucht
SN000060,wet,LX000031,139aaa4d20cfa3aba83047a8aeea51ce ; 25b18bb9916c413484fbfa43ca77d6fa,state,mojado,nass
SN000061,chunk; lump; knot; bundle,LX000032,bff49ffbc0a3b444df09b8b923be11a3 ; c662f2d63c92e198cffc1fc1d692461d,quantity,trozo; nudo; haz,Brocken; Klumpen; Knoten
SN000062,embrace by the neck,ako,0ea8a4166b839f8c76fa39da40bb7956,activity,abrazar por el cuello,umschlingen; seitwärts um den Hals nehmen
SN000063,demonstrative (distal),akoi,bbcdb943f7e89031257e9f6cc281b756,grammatical - deictic,"demonstrativo (aquel, distante)",Demonstrativum (entfernt)
SN000064,a piece of shell,akora,,object; animal - body part,un pedazo de concha,Muschelstück
SN000065,towards this side,LX000033,,location,hacia este lado,zu dieser Seite
SN000066,collar bone,LX000034,08fd1fa4afd4f9d039e0119ae702cdea,body part,clavícula,Schlüsselbein
SN000067,hot,aku,2360ff62cb1eb27f822c99e797bc1a00,state,caliente,heiss
SN000068,chili,LX000035,,plant - fruit; food & drink,ají,Chili
SN000069,Central-American agouti,akuchi,6dfa0887395584dae564189c5f1f9316,animal - mammal,jochi colorado,Mittelamerikanisches Aguti
SN000070,lúcuma fruit,LX000036,06dacdb2ed6747b34d143326d1b68c42,plant - fruit,"lúcuma, una fruta","Lucuma, eine Frucht"
SN000071,"a species of animal, similar to a fox",akuchi_yagwar,0dc939ad5492349e9a0d24b94e07ef7c,animal - mammal,"una especie de animal, parecido al zorro",Tierart (fuchsähnlich)
SN000072,hair loss,akui,76d10abfac6f6c5d419cd77bea173727,state,caída de pelo,Haarausfall
SN000073,sweat,akuvo,aed8a0c3bbe5b9218b10816f0a7ced6b,state; body part - liquid,sudar,schwitzen
SN000074,knot; lacing,akwa,,object,nudo; atadura,Knoten; Verschnürung
SN000075,jut,LX000037,83ebc001822ab74d118daa54f0dcabfa,environment,resalto,Vorsprung; überstand
SN000076,fern,amambai,,plant - herb,helecho,Farn
SN000077,rain,LX000038,fa9bb1ded207828986e5f4e707083388,weather,lluvia,Regen
SN000078,hail rain,amanda,4234ce1f768191713a8fe02aaf1b1fd4,weather,granizo,Hagelregen
SN000079,a species of tree,LX000039,018583ef20ab1a67d1636b189a6b96f2,plant - tree,una especie de árbol,Baumart
SN000080,rain cloud; cloudy,LX000040,3feccbf98a60d762ee43f42034a5001a,weather,nube de lluvia; nublado,Regenwolke; bewölkt
SN000081,rain,amar,420a385218f1d75d6c5edd3d15f3ad77,weather,lluvia,Regen
SN000082,thunder,amar_sunu,f5aae7bd52d4a15e834939406b1c9013,weather,trueno,Donner
SN000083,lightning; thunderrain,amar_verakwer,f7b7b71c5c91c84acc47d505621633c6 ; 8858600e7564b354b887325a42ed2a8c,weather,relámpago; lluvia tormentosa,Blitz; Gewitterregen
SN000084,"dead, deceased",LX000041,f02f9d1d97cd4bc0b8e85e2ce12c10f4 ; 8020d0ef92097e4cbb6614ed7f2cf90a,property,"fallecido, muerto, finado",gestorben
SN000085,any,amo,b74c05a91be1a719adf8d35441c17f15,other,cualquier,irgendein
SN000086,far,LX000042,4199519d64d34de53ab0ac0867b005e3,location,lejos,weit
SN000087,"hate, be enemies",LX000043,75ffcddf473a2a48111d438ac7b6887c,activity,"odiarse, ser enemigos",verfeindet sein
SN000088,lightning; thunderrain,amoverakwer,f7b7b71c5c91c84acc47d505621633c6,weather,relámpago; lluvia tormentosa,Blitz; Gewitterregen
SN000089,sometimes,LX000044,28137bc1d3ac5f28479abd9837d9925c,time; quantity,a veces; de vez en cuando,manchmal
SN000090,"ambaibo, a species of tree",LX000045,b095221a4f0f7627367e0f08f7de1266,plant - tree,"ambaibo, una especie de árbol","Ambaibo, ein Baum"
SN000091,a species of tree,LX000046,b2a2cc8ae96d7e4c1ad8d83ef6d30c7d,plant - tree; plant - shrub,una especie de árbol,Baumart
SN000092,a species of tree called ambaibo in Spanish,LX000047,,plant - tree,"ambaibo, una especie de árbol","eine Baumart, der spanische Name ist ambaibo"
SN000093,"a species of tree, its bark is used for making strings for bows",LX000048,e04749c8e4997d9d0ed39ab642668876,plant - tree,"una especie de árbol, su corteza sirve para hacer cuerdas para arcos","Baumart, die Rinde wird zur Herstellung von Bogensehnen verwendet"
SN000094,"a species of animal, similar to a fox, lives in the mountains",ambere_1,e01e7328127021c39ab5947a989d243e,animal - mammal,"una especie de animal, parecido al zorro, vive en las montañas","Tierart (fuchsähnlich, lebt in den Bergen)"
SN000095,a species of small lizard,ambere_2,e01e7328127021c39ab5947a989d243e,animal - reptile,una especie de lagartija pequeña,kleine Eidechsenart
SN000096,a species of animal,ambere_voi,e01e7328127021c39ab5947a989d243e,animal,una especie de animal,Tierart
SN000097,fringe,ambopir,,material,fleco,Franse
SN000098,thread,ambopirer,cb20cc2f8967e3fc8668c2a5514dbe7d ; 420ea28c05ff98a2cf9a41d094af610f,material,hilo,Schnur
SN000099,"love; like, only negated",ambota_1,7ff7a31ce6cb124fc37b5c3d1c9b8024 ; 353c851ca5263c6845d1c99d8370ce95,activity,"amar; querer, solo usado en negación","lieben; mögen, nur in Verneinung gebraucht"
SN000100,beard,ambota_2,2fa01d8ebf9112b89f1d234ec7fc347d ; 410b3099e19c4f6ba1d289d71d77225b,body part,barba,Bart
SN000101,person with beard growth only on the chin,LX000049,,human,persona que tiene pelo solo en la punta de la barbilla,"Person, die nur am Kinn Bartwuchs hat"
SN000102,person with little beard growth,LX000050,,human,persona que tiene poco pelo de la barba,"Person, die nur wenig Bartwuchs hat"
SN000103,enemy,LX000051,7ff7a31ce6cb124fc37b5c3d1c9b8024,human,enemigo,Feind
SN000104,snuffle; snore; grunt,ambu,d2c54879042f19344fc4cf0e52fb319f,action,jadeo; ronquido; gruñido,Schnaufen; Schnarchen; Grunzen
SN000105,other; following; next,ambuae,bd34da1ad6f90f67ed38118637e4246b,other,otro; siguiente; próximo,anderer; nächster
SN000106,thick,ana,09c23394ef2694a9deffa7acdd448cab,property,grueso,dick
SN000107,a species of centipede,LX000052,3f1ff71f146fa8a73a8fc8ca2025cdc9,animal - myriapod,"quemaquema, una especie de cienpiés",Tausendfüßlerart
SN000108,no; nothing,ani,e684b9ef6052d8c145cdb1e24aff54be,grammatical - polarity; quantity,no; nada,nein; nichts
SN000109,not anymore,anivei,,grammatical,ya no,nicht mehr
SN000110,"smooth-billed ani, a species of bird",anu,59866cb60d06964e0aa006a3a1328cb3,animal - bird,"mauri, una especie de pájaro",Glattschnabelani
SN000111,"a species of bird, announces an attack, his call sounds like ""sugwɨ sugwɨ"" - ""blood blood""",anu_gwasu,59866cb60d06964e0aa006a3a1328cb3,animal - bird,"una especie de ave, anuncia un ataque, su canto suena como ""sugwɨ sugwɨ"" - ""sangre sangre""","Vogelart, kündigt einen Angriff an, sein Gesang klingt wie ""sugwɨ sugwɨ"" - ""Blut Blut"""
SN000112,devil,LX000053,a7dca699f509d7ac55410d8c0075af32,religion & spirituality,diablo,Teufel
SN000113,devil,LX000054,a7dca699f509d7ac55410d8c0075af32,religion & spirituality,diablo,Teufel
SN000114,a species of fruit with a rough peel,LX000055,a7dca699f509d7ac55410d8c0075af32,plant - fruit,una especie de fruta con cáscara áspera,Fruchtsorte mit rauer Schale
SN000115,"a species of caterpillar, burns the skin when touching it",LX000056,a7dca699f509d7ac55410d8c0075af32,animal - insect,"una especie de oruga, quema la piel cuando se la toca","Raupenart, brennt auf der Haut bei Berührung"
SN000116,it is like that; really,LX000057,18eb5b0b07165e908126c0a99aab3792 ; 01f82513c79235fa70bede16f7886c1c,grammatical - polarity; grammatical - interrogative,así es; de verdad,so ist es; wirklich
SN000117,attend; serve,LX000058,8cc9c819bb36478a07ff9c7fa6f09d93,state,atender; servir,betreuen; bedienen
SN000118,sad,LX000059,8cc9c819bb36478a07ff9c7fa6f09d93,human emotion,triste,traurig
SN000119,morning,LX000060,cb933d2fb3fe89e6648990a8238c9b89,time,mañana,Morgen
SN000120,hollow of the knee,LX000061,d6a26744175871fb2eed68b1d40932e0,body part,corva,Kniekehle
SN000121,a species of plant with thorns,LX000062,66886a7e04c2358782b5e7486b170fd5,plant,una especie de planta espinosa,Pflanzenart mit Dornen
SN000122,a species of aquatic plant,LX000063,0e81dc4abb936c25c8d3064e29893f28,plant - aquatic,una especie de planta acuática,Wasserpflanzenart
SN000123,feel; hear; experience,andu,f55de252fe1a29d3ca839aa20ebdabf4,activity,sentir; escuchar; experimentar,fühlen; hören; erfahren
SN000124,thin,angai,01ac9eef8b89c175df87b3bad7807eaa,state,flaco,dünn; mager
SN000125,sin,angaipa,7831e667a1905f256782c8bffbabecf3 ; a8cd059cd75dff52f4e12b9455199a03,religion & spirituality,pecado,Sünde
SN000126,lazyness,angaipa,7831e667a1905f256782c8bffbabecf3 ; a8cd059cd75dff52f4e12b9455199a03,human,pereza,Faulheit
SN000127,criticize,angao,7869887c5963e5a0d267ba31bb731fb1 ; a9b795ac2b05d585e9c21c5381d05c2c,activity,criticar,kritisieren
SN000128,just like that; lightly; offhandedly; inane,LX000064,7d09c4fe5332748d6e5c27d9ce9e0596,manner,sin cumplidos; leve; a la ligera; insignificante,ohne weiteres; glimpflich; leichthin; nichtig
SN000129,cover,ao,598607b96176924957db43513a61e710,activity,cubrir,zudecken
SN000130,bend; fold,apa,01b172890c61ff496d0cac3187900bd5,activity,doblar; torcer,biegen; falten
SN000131,badly dyed or discoloured thread or thread bleached by the sun,apachingai,1048b1586fc158554efad80dfc735d32,material,hilo mal teñido o desteñido por otros colores o desteñido por el sol,"schlecht gefärbter oder verfärbter Faden, von der Sonne gebleicht"
SN000132,whitish; pale,LX000065,1048b1586fc158554efad80dfc735d32 ; f2ba609a9cb2dea07fb40dd3cd87aba1 ; 73184a16d8241dd9189b933e7e47786c,colour,blanquecino; pálido,weißlich; blass
SN000133,fold; entangle,apakwa,,state,enredar; encogerse,zusammenlegen; verheddern
